district,state_abb,state,house_rep_20,house_party_20,house_rep_22,house_party_22,house_rep_24,house_party_24,harris_24,trump_24,gerry_22,gerry_24,gerry_26
AK-00,AK,Alaska,Don Young,Republican,Mary Sattler Peltola,Democrat,Nick Begich,Republican,41.41,54.54,NA,NA,NA
AL-01,AL,Alabama,Jerry Carl,Republican,Jerry L Carl,Republican,Barry Moore,Republican,21.89,76.94,F,B,B
AL-02,AL,Alabama,Barry Moore,Republican,Barry Moore,Republican,Shomari Figures,Democrat,53.52,45.31,F,B,B
AL-03,AL,Alabama,Mike Rogers,Republican,Mike Rogers,Republican,Mike Rogers,Republican,26.18,72.71,F,B,B
AL-04,AL,Alabama,Robert B Aderholt,Republican,Robert B Aderholt,Republican,Robert B. Aderholt,Republican,15.96,83.02,F,B,B
AL-05,AL,Alabama,Mo Brooks,Republican,Dale Strong,Republican,Dale W. Strong,Republican,34.2,64.02,F,B,B
AL-06,AL,Alabama,Gary J Palmer,Republican,Gary J Palmer,Republican,Gary J. Palmer,Republican,29.68,68.47,F,B,B
AL-07,AL,Alabama,Terri A Sewell,Democrat,Terri A Sewell,Democrat,Terri A. Sewell,Democrat,61.45,37.5,F,B,B
AR-01,AR,Arkansas,"Eric A \""Rick\"" Crawford",Republican,Eric A ÂRickâ Crawford,Republican,"Eric A. \""Rick\"" Crawford",Republican,26.37,71.71,C,C,C
AR-02,AR,Arkansas,J French Hill,Republican,J French Hill,Republican,J. French Hill,Republican,40.99,56.6,C,C,C
AR-03,AR,Arkansas,Steve Womack,Republican,Steve Womack,Republican,Steve Womack,Republican,36.18,61.09,C,C,C
AR-04,AR,Arkansas,Bruce Westerman,Republican,Bruce Westerman,Republican,Bruce Westerman,Republican,29.11,69.05,C,C,C
AZ-01,AZ,Arizona,Tom O'halleran,Democrat,David Schweikert,Republican,David Schweikert,Republican,47.77,50.87,A,A,A
AZ-02,AZ,Arizona,Ann Kirkpatrick,Democrat,Eli Crane,Republican,Elijah Crane,Republican,41.96,56.91,A,A,A
AZ-03,AZ,Arizona,Raul M Grijalva,Democrat,Ruben Gallego,Democrat,Yassamin Ansari,Democrat,68.9,29.31,A,A,A
AZ-04,AZ,Arizona,Paul A Gosar,Republican,Greg Stanton,Democrat,Greg Stanton,Democrat,52.39,45.75,A,A,A
AZ-05,AZ,Arizona,Andy Biggs,Republican,Andy Biggs,Republican,Andy Biggs,Republican,39.32,59.22,A,A,A
AZ-06,AZ,Arizona,David Schweikert,Republican,Juan Ciscomani,Republican,Juan Ciscomani,Republican,48.9,49.65,A,A,A
AZ-07,AZ,Arizona,Ruben Gallego,Democrat,RaãL M Grijalva,Democrat,Raúl M. Grijalva,Democrat,60.31,38.24,A,A,A
AZ-08,AZ,Arizona,Debbie Lesko,Republican,Debbie Lesko,Republican,"Abraham \""Abe\"" Hamadeh",Republican,41.23,57.5,A,A,A
AZ-09,AZ,Arizona,Greg Stanton,Democrat,Paul Gosar,Republican,Paul A. Gosar,Republican,33.96,64.95,A,A,A
CA-01,CA,California,Doug Lamalfa,Republican,Doug Lamalfa,Republican,Doug Lamalfa,Republican,36.12,61.07,B,B,B
CA-02,CA,California,Jared Huffman,Democrat,Jared Huffman,Democrat,Jared Huffman,Democrat,70.88,25.72,B,B,B
CA-03,CA,California,John Garamendi,Democrat,Kevin Kiley,Republican,Kevin Kiley,Republican,46.52,50.33,B,B,B
CA-04,CA,California,Tom Mcclintock,Republican,Mike Thompson,Democrat,Mike Thompson,Democrat,64.04,32.82,B,B,B
CA-05,CA,California,Mike Thompson,Democrat,Tom Mcclintock,Republican,Tom Mcclintock,Republican,39.86,57.58,B,B,B
CA-06,CA,California,Doris O Matsui,Democrat,Ami Bera,Democrat,Ami Bera,Democrat,55.23,41.36,B,B,B
CA-07,CA,California,Ami Bera,Democrat,Doris O Matsui,Democrat,Doris O. Matsui,Democrat,63.1,33.35,B,B,B
CA-08,CA,California,Jay Obernolte,Republican,John Garamendi,Democrat,John Garamendi,Democrat,70.15,26.58,B,B,B
CA-09,CA,California,Jerry Mcnerney,Democrat,Josh Harder,Democrat,Josh Harder,Democrat,47.6,49.38,B,B,B
CA-10,CA,California,Josh Harder,Democrat,Mark Desaulnier,Democrat,Mark Desaulnier,Democrat,65.21,31.43,B,B,B
CA-11,CA,California,Mark Desaulnier,Democrat,Nancy Pelosi,Democrat,Nancy Pelosi,Democrat,81.8,14.08,B,B,B
CA-12,CA,California,Nancy Pelosi,Democrat,Barbara Lee,Democrat,Lateefah Simon,Democrat,84.54,10.64,B,B,B
CA-13,CA,California,Barbara Lee,Democrat,John Duarte,Republican,Adam Gray,Democrat,45.9,51.32,B,B,B
CA-14,CA,California,Jackie Speier,Democrat,Eric Swalwell,Democrat,Eric Swalwell,Democrat,65.78,30.35,B,B,B
CA-15,CA,California,Eric Swalwell,Democrat,Kevin Mullin,Democrat,Kevin Mullin,Democrat,72.19,24.3,B,B,B
CA-16,CA,California,Jim Costa,Democrat,Anna G Eshoo,Democrat,Sam Liccardo,Democrat,72.47,23.95,B,B,B
CA-17,CA,California,Ro Khanna,Democrat,Ro Khanna,Democrat,Ro Khanna,Democrat,66.75,28.85,B,B,B
CA-18,CA,California,Anna G Eshoo,Democrat,Zoe Lofgren,Democrat,Zoe Lofgren,Democrat,63.19,33.68,B,B,B
CA-19,CA,California,Zoe Lofgren,Democrat,Jimmy Panetta,Democrat,Jimmy Panetta,Democrat,65.44,31.05,B,B,B
CA-20,CA,California,Jimmy Panetta,Democrat,Kevin Mccarthy,Republican,Vince Fong,Republican,33.69,64.01,B,B,B
CA-21,CA,California,David G Valadao,Republican,Jim Costa,Democrat,Jim Costa,Democrat,50.57,46.79,B,B,B
CA-22,CA,California,Devin Nunes,Republican,David G Valadao,Republican,David G. Valadao,Republican,45.77,51.6,B,B,B
CA-23,CA,California,Kevin Mccarthy,Republican,Jay Obernolte,Republican,Jay Obernolte,Republican,40.24,57.09,B,B,B
CA-24,CA,California,Salud O Carbajal,Democrat,Salud O Carbajal,Democrat,Salud O. Carbajal,Democrat,60.96,35.92,B,B,B
CA-25,CA,California,Mike Garcia,Republican,Raul Ruiz,Democrat,Raul Ruiz,Democrat,50.07,47.59,B,B,B
CA-26,CA,California,Julia Brownley,Democrat,Julia Brownley,Democrat,Julia Brownley,Democrat,55.17,42.01,B,B,B
CA-27,CA,California,Judy Chu,Democrat,Mike Garcia,Republican,George Whitesides,Democrat,50.47,46.58,B,B,B
CA-28,CA,California,Adam B Schiff,Democrat,Judy Chu,Democrat,Judy Chu,Democrat,61.8,34.87,B,B,B
CA-29,CA,California,Tony Cardenas,Democrat,Tony CãRdenas,Democrat,Luz Maria Rivas,Democrat,65.83,31.03,B,B,B
CA-30,CA,California,Brad Sherman,Democrat,Adam B Schiff,Democrat,Laura Friedman,Democrat,68.81,27.75,B,B,B
CA-31,CA,California,Pete Aguilar,Democrat,Grace F Napolitano,Democrat,Gil Cisneros,Democrat,56.95,40.04,B,B,B
CA-32,CA,California,Grace F Napolitano,Democrat,Brad Sherman,Democrat,Brad Sherman,Democrat,64.21,32.86,B,B,B
CA-33,CA,California,Ted Lieu,Democrat,Pete Aguilar,Democrat,Pete Aguilar,Democrat,52.92,44.18,B,B,B
CA-34,CA,California,Jimmy Gomez,Democrat,Jimmy Gomez,Democrat,Jimmy Gomez,Democrat,73.06,22.42,B,B,B
CA-35,CA,California,Norma J Torres,Democrat,Norma J Torres,Democrat,Norma J. Torres,Democrat,53.67,43.39,B,B,B
CA-36,CA,California,Raul Ruiz,Democrat,Ted Lieu,Democrat,Ted Lieu,Democrat,67.92,28.81,B,B,B
CA-37,CA,California,Karen Bass,Democrat,Sydney Kamlager,Democrat,Sydney Kamlager-Dove,Democrat,78.66,18.27,B,B,B
CA-38,CA,California,Linda T Sanchez,Democrat,Linda T SãNchez,Democrat,Linda T. Sánchez,Democrat,56.48,40.4,B,B,B
CA-39,CA,California,Young Kim,Republican,Mark Takano,Democrat,Mark Takano,Democrat,53.31,43.62,B,B,B
CA-40,CA,California,Lucille Roybal-Allard,Democrat,Young Kim,Republican,Young Kim,Republican,47.18,49.5,B,B,B
CA-41,CA,California,Mark Takano,Democrat,Ken Calvert,Republican,Ken Calvert,Republican,45.73,51.66,B,B,B
CA-42,CA,California,Ken Calvert,Republican,Robert Garcia,Democrat,Robert Garcia,Democrat,64.48,32.05,B,B,B
CA-43,CA,California,Maxine Waters,Democrat,Maxine Waters,Democrat,Maxine Waters,Democrat,72.88,23.91,B,B,B
CA-44,CA,California,Nanette Diaz Barragan,Democrat,Nanette Diaz BarragãN,Democrat,Nanette Diaz Barragán,Democrat,65.33,31.51,B,B,B
CA-45,CA,California,Katie Porter,Democrat,Michelle Steel,Republican,Derek Tran,Democrat,49.29,47.76,B,B,B
CA-46,CA,California,J Luis Correa,Democrat,J Luis Correa,Democrat,J. Luis Correa,Democrat,57.32,39.6,B,B,B
CA-47,CA,California,Alan S Lowenthal,Democrat,Katie Porter,Democrat,Dave Min,Democrat,50.33,46.16,B,B,B
CA-48,CA,California,Michelle Steel,Republican,Darrell Issa,Republican,Darrell Issa,Republican,41.11,56.42,B,B,B
CA-49,CA,California,Mike Levin,Democrat,Mike Levin,Democrat,Mike Levin,Democrat,52.47,44.71,B,B,B
CA-50,CA,California,Darrell Issa,Republican,Scott H Peters,Democrat,Scott H. Peters,Democrat,63.1,33.54,B,B,B
CA-51,CA,California,Juan Vargas,Democrat,Sara Jacobs,Democrat,Sara Jacobs,Democrat,60.21,36.71,B,B,B
CA-52,CA,California,Scott H Peters,Democrat,Juan Vargas,Democrat,Juan Vargas,Democrat,59.27,38.08,B,B,B
CA-53,CA,California,Sara Jacobs,Democrat,NA,NA,NA,NA,NA,NA,B,B,B
CO-01,CO,Colorado,Diana Degette,Democrat,Diana Degette,Democrat,Diana Degette,Democrat,76.52,20.58,A,A,A
CO-02,CO,Colorado,Joe Neguse,Democrat,Joe Neguse,Democrat,Joe Neguse,Democrat,68.48,28.71,A,A,A
CO-03,CO,Colorado,Lauren Boebert,Republican,Lauren Boebert,Republican,Jeff Hurd,Republican,43.89,53.62,A,A,A
CO-04,CO,Colorado,Ken Buck,Republican,Ken Buck,Republican,Lauren Boebert,Republican,39.64,57.89,A,A,A
CO-05,CO,Colorado,Doug Lamborn,Republican,Doug Lamborn,Republican,Jeff Crank,Republican,44.08,53.16,A,A,A
CO-06,CO,Colorado,Jason Crow,Democrat,Jason Crow,Democrat,Jason Crow,Democrat,58.45,38.67,A,A,A
CO-07,CO,Colorado,Ed Perlmutter,Democrat,Brittany Pettersen,Democrat,Brittany Pettersen,Democrat,56.1,41.11,A,A,A
CO-08,CO,Colorado,NA,NA,Yadira Caraveo,Democrat,Gabe Evans,Republican,47.73,49.56,A,A,A
CT-01,CT,Connecticut,John B Larson,Democrat,John B Larson,Democrat,John B. Larson,Democrat,60.59,37.71,A,A,A
CT-02,CT,Connecticut,Joe Courtney,Democrat,Joe Courtney,Democrat,Joe Courtney,Democrat,53.01,45.29,A,A,A
CT-03,CT,Connecticut,Rosa L Delauro,Democrat,Rosa L Delauro,Democrat,Rosa L. Delauro,Democrat,56.05,41.99,A,A,A
CT-04,CT,Connecticut,James A Himes,Democrat,James A Himes,Democrat,James A. Himes,Democrat,60.89,37.53,A,A,A
CT-05,CT,Connecticut,Jahana Hayes,Democrat,Jahana Hayes,Democrat,Jahana Hayes,Democrat,51.99,46.41,A,A,A
